ndc,fei,registrant,country,anda,nda,bla,linkage_method,api_mfr
63629-1224,3013326213,"Innogenix, LLC.",US,ANDA-212378,,,SPL_DUNS_FEI,
17271-703,3002851530,Fresenius Kabi Deutschland GmbH,DE,ANDA-209476,,,SPL_DUNS_FEI,
0713-0339,1053439,"Cosette Pharmaceuticals NC Laboratories, LLC",US,ANDA-077109,,,SPL_DUNS_FEI,
42291-522,1525864,"Adare Pharmaceuticals, Inc.",US,ANDA-078703,,,SPL_DUNS_FEI,
42291-523,1525864,"Adare Pharmaceuticals, Inc.",US,ANDA-078703,,,SPL_DUNS_FEI,
42291-524,1525864,"Adare Pharmaceuticals, Inc.",US,ANDA-078703,,,SPL_DUNS_FEI,
42291-525,1525864,"Adare Pharmaceuticals, Inc.",US,ANDA-078703,,,SPL_DUNS_FEI,
59651-450,3008461619,EUGIA Pharma Specialities Limited,IN,ANDA-215063,,,SPL_DUNS_FEI,
60687-375,1000513101,"Pharmaceutics International, Inc.",US,ANDA-078292,,,SPL_DUNS_FEI,
60687-386,1000513101,"Pharmaceutics International, Inc.",US,ANDA-078292,,,SPL_DUNS_FEI,
63629-2337,3005508367,Laboratorios Liconsa SAU,ES,ANDA-212976,,,SPL_DUNS_FEI,
72162-1149,3007027193,"Par Health USA, LLC",IN,ANDA-075798,,,SPL_DUNS_FEI,
72162-1149,1038197,Prinston Pharmaceutical Inc.,US,ANDA-075798,,,SPL_DUNS_FEI,
45802-925,3001904238,Padagis Israel Pharmaceuticals Ltd,IL,ANDA-075027,,,ADDRESS_MATCH,
71335-1558,3007373532,Aurobindo Pharma Limited,IN,ANDA-205761,,,SPL_DUNS_FEI,
45802-368,3001904238,Padagis Israel Pharmaceuticals Ltd,IL,ANDA-078837,,,ADDRESS_MATCH,
70771-1168,3002984011,Zydus Lifesciences Limited,IN,ANDA-204946,,,SPL_DUNS_FEI,
70771-1169,3002984011,Zydus Lifesciences Limited,IN,ANDA-204946,,,SPL_DUNS_FEI,
72888-009,3008252295,Rubicon Research Limited,IN,ANDA-209102,,,SPL_DUNS_FEI,
72888-010,3008252295,Rubicon Research Limited,IN,ANDA-209102,,,SPL_DUNS_FEI,
72888-011,3008252295,Rubicon Research Limited,IN,ANDA-209102,,,SPL_DUNS_FEI,
72336-073,3008897678,"Chartwell Pharmaceuticals Congers, LLC.",US,ANDA-077406,,,ADDRESS_MATCH,
71872-7295,3014595023,Emcure Pharmaceuticals Limited,IN,ANDA-203428,,,SPL_DUNS_FEI,
71872-7295,3014362214,Maiva Pharma Private Limited,IN,ANDA-203428,,,SPL_DUNS_FEI,
71335-2415,3008768274,COHANCE LIFESCIENCES LIMITED,IN,ANDA-210662,,,SPL_DUNS_FEI,
43063-941,3005029956,"Torrent Pharma, Inc.",IN,ANDA-091448,,,SPL_DUNS_FEI,
72162-2069,3012403297,QUAGEN PHARMACEUTICALS LLC,US,ANDA-213559,,,SPL_DUNS_FEI,
70247-006,3011922870,Qingdao BAHEAL Pharmaceutical CoLtd,CN,ANDA-208856,,,SPL_DUNS_FEI,
70247-007,3011922870,Qingdao BAHEAL Pharmaceutical CoLtd,CN,ANDA-208856,,,SPL_DUNS_FEI,
70247-008,3011922870,Qingdao BAHEAL Pharmaceutical CoLtd,CN,ANDA-208856,,,SPL_DUNS_FEI,
70247-009,3011922870,Qingdao BAHEAL Pharmaceutical CoLtd,CN,ANDA-208856,,,SPL_DUNS_FEI,
50090-5962,3013354357,The ACME Laboratories Ltd.,BD,ANDA-201845,,,SPL_DUNS_FEI,
65862-536,3005796917,Aurolife Pharma LLC,US,ANDA-201043,,,SPL_DUNS_FEI,
65862-536,3011255967,APL HEALTHCARE LIMITED,IN,ANDA-201043,,,SPL_DUNS_FEI,
65862-536,3007373532,Aurobindo Pharma Limited,IN,ANDA-201043,,,SPL_DUNS_FEI,
65862-537,3005796917,Aurolife Pharma LLC,US,ANDA-201043,,,SPL_DUNS_FEI,
65862-537,3011255967,APL HEALTHCARE LIMITED,IN,ANDA-201043,,,SPL_DUNS_FEI,
65862-537,3007373532,Aurobindo Pharma Limited,IN,ANDA-201043,,,SPL_DUNS_FEI,
65862-538,3005796917,Aurolife Pharma LLC,US,ANDA-201043,,,SPL_DUNS_FEI,
65862-538,3011255967,APL HEALTHCARE LIMITED,IN,ANDA-201043,,,SPL_DUNS_FEI,
65862-538,3007373532,Aurobindo Pharma Limited,IN,ANDA-201043,,,SPL_DUNS_FEI,
70752-138,3012403297,QUAGEN PHARMACEUTICALS LLC,US,ANDA-213890,,,SPL_DUNS_FEI,
51672-1384,3002808384,"Taro Pharmaceuticals U.S.A., Inc.",CA,ANDA-209148,,,SPL_DUNS_FEI,
68001-427,3011585184,Granules Pharmaceuticals Inc.,US,ANDA-213185,,,SPL_DUNS_FEI,
55154-4152,3002808376,Apotex Inc.,CA,ANDA-076143,,,ADDRESS_MATCH,
62332-087,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-202130,,,SPL_DUNS_FEI,
62332-088,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-202130,,,SPL_DUNS_FEI,
62332-089,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-202130,,,SPL_DUNS_FEI,
77771-182,3008298016,"ScieGen Pharmaceuticals, INC.",US,ANDA-205236,,,SPL_DUNS_FEI,
77771-183,3008298016,"ScieGen Pharmaceuticals, INC.",US,ANDA-205236,,,SPL_DUNS_FEI,
77771-184,3008298016,"ScieGen Pharmaceuticals, INC.",US,ANDA-205236,,,SPL_DUNS_FEI,
77771-185,3008298016,"ScieGen Pharmaceuticals, INC.",US,ANDA-205236,,,SPL_DUNS_FEI,
50090-6401,3002807742,Teva Canada Limited,CA,ANDA-075536,,,ADDRESS_MATCH,
50090-6401,3002807750,Teva Canada Limited,CA,ANDA-075536,,,ADDRESS_MATCH,
42571-137,3009310198,Micro Labs Limited,IN,ANDA-203410,,,SPL_DUNS_FEI,
16714-984,3004672766,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-209252,,,SPL_DUNS_FEI,
68788-8507,3008252295,Rubicon Research Limited,IN,ANDA-216780,,,SPL_DUNS_FEI,
71610-733,3002535019,"CorePharma, LLC",US,ANDA-076102,,,SPL_DUNS_FEI,
29300-124,3005497507,"Unichem Laboratories Limited, India",IN,ANDA-077927,,,ADDRESS_MATCH,
29300-125,3005497507,"Unichem Laboratories Limited, India",IN,ANDA-077927,,,ADDRESS_MATCH,
71205-764,3005259207,Piramal Pharma Limited,IN,ANDA-078216,,,SPL_DUNS_FEI,
71205-764,3005029956,"Torrent Pharma, Inc.",IN,ANDA-078216,,,SPL_DUNS_FEI,
71205-764,3010228235,"Torrent Pharma, Inc.",IN,ANDA-078216,,,SPL_DUNS_FEI,
71335-1110,3005497507,"Unichem Laboratories Limited, India",IN,ANDA-090170,,,ADDRESS_MATCH,
67046-1069,3002984011,Zydus Lifesciences Limited,IN,ANDA-040596,,,SPL_DUNS_FEI,
67046-1069,3005430968,Zydus Lifesciences Limited,IN,ANDA-040596,,,SPL_DUNS_FEI,
70518-0394,3005497507,"Unichem Laboratories Limited, India",IN,ANDA-077927,,,ADDRESS_MATCH,
67046-1456,3011585184,Granules Pharmaceuticals Inc.,US,ANDA-216916,,,ADDRESS_MATCH,
67046-1456,3004097901,Granules India Ltd,IN,ANDA-216916,,,ADDRESS_MATCH,
70069-231,3003821988,Somerset Therapeutics Private Limited,IN,ANDA-208992,,,SPL_DUNS_FEI,
70069-232,3003821988,Somerset Therapeutics Private Limited,IN,ANDA-208992,,,SPL_DUNS_FEI,
70069-233,3003821988,Somerset Therapeutics Private Limited,IN,ANDA-208992,,,SPL_DUNS_FEI,
51655-172,3008223599,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-202025,,,SPL_DUNS_FEI,
65862-825,3007373532,Aurobindo Pharma Limited,IN,ANDA-205972,,,SPL_DUNS_FEI,
65862-826,3007373532,Aurobindo Pharma Limited,IN,ANDA-205972,,,SPL_DUNS_FEI,
50090-6089,3000242652,Excella GmbH & Co. KG,DE,ANDA-212399,,,SPL_DUNS_FEI,TRUE
50090-6089,3005890633,Intas Pharmaceuticals Limited,IN,ANDA-212399,,,SPL_DUNS_FEI,
63187-828,3004672766,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-091672,,,SPL_DUNS_FEI,
71288-166,3007086869,"Jiangsu Hansoh Pharmaceutical Group Co., Ltd.",CN,ANDA-208696,,,ADDRESS_MATCH,
71288-166,3008316144,"Jiangsu Hansoh Pharmaceutical Group Co., Ltd.",CN,ANDA-208696,,,ADDRESS_MATCH,
71288-167,3007086869,"Jiangsu Hansoh Pharmaceutical Group Co., Ltd.",CN,ANDA-208696,,,ADDRESS_MATCH,
71288-167,3008316144,"Jiangsu Hansoh Pharmaceutical Group Co., Ltd.",CN,ANDA-208696,,,ADDRESS_MATCH,
57664-606,3004132058,"Sun Pharmaceutical Industries, Inc.",US,ANDA-205135,,,SPL_DUNS_FEI,
57664-607,3004132058,"Sun Pharmaceutical Industries, Inc.",US,ANDA-205135,,,SPL_DUNS_FEI,
57664-608,3004132058,"Sun Pharmaceutical Industries, Inc.",US,ANDA-205135,,,SPL_DUNS_FEI,
57664-609,3004132058,"Sun Pharmaceutical Industries, Inc.",US,ANDA-205135,,,SPL_DUNS_FEI,
51407-657,2434223,Strides Pharma Science Limited,US,ANDA-077463,,,SPL_DUNS_FEI,
51407-656,2434223,Strides Pharma Science Limited,US,ANDA-077463,,,SPL_DUNS_FEI,
68788-7090,3008223599,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-075927,,,SPL_DUNS_FEI,
68788-7090,3010661577,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-075927,,,SPL_DUNS_FEI,
72162-1273,3005669319,Encube Ethicals Pvt. Ltd.,IN,ANDA-211295,,,SPL_DUNS_FEI,
63629-9109,3002806613,"Bausch Health US, LLC",CA,ANDA-075269,,,SPL_DUNS_FEI,
60505-0222,3002808376,Apotex Inc.,CA,ANDA-076214,,,ADDRESS_MATCH,
60505-0223,3002808376,Apotex Inc.,CA,ANDA-076214,,,ADDRESS_MATCH,
60505-0224,3002808376,Apotex Inc.,CA,ANDA-076214,,,ADDRESS_MATCH,
71610-621,3009518416,Ascent Pharmaceuticals Inc,US,ANDA-214957,,,SPL_DUNS_FEI,
51655-782,2311630,Dr. Reddy's Laboratories Limited,US,ANDA-071587,,,ADDRESS_MATCH,
69452-312,3004540907,Bionpharma Inc.,IN,ANDA-218221,,,SPL_DUNS_FEI,
60505-0039,3002808376,Apotex Inc.,CA,ANDA-075419,,,ADDRESS_MATCH,
60505-0040,3002808376,Apotex Inc.,CA,ANDA-075419,,,ADDRESS_MATCH,
71610-640,3005151016,Strides Pharma Science Limited,IN,ANDA-202330,,,ADDRESS_MATCH,
71610-640,3004554612,Strides Pharma Science Limited,IN,ANDA-202330,,,ADDRESS_MATCH,
71610-640,3012423830,PharmaGend Global Medical Services Pte Ltd.,SG,ANDA-202330,,,ADDRESS_MATCH,
72603-282,3013944676,Annora Pharma Private Limited,IN,ANDA-214344,,,SPL_DUNS_FEI,
72603-283,3013944676,Annora Pharma Private Limited,IN,ANDA-214344,,,SPL_DUNS_FEI,
72603-284,3013944676,Annora Pharma Private Limited,IN,ANDA-214344,,,SPL_DUNS_FEI,
72603-285,3013944676,Annora Pharma Private Limited,IN,ANDA-214344,,,SPL_DUNS_FEI,
70518-3278,3005508367,Laboratorios Liconsa SAU,ES,ANDA-212977,,,SPL_DUNS_FEI,
0143-9306,3002320821,THYMOORGAN GMBH PHARMAZIE,DE,ANDA-065275,,,ADDRESS_MATCH,
71335-2590,3002984011,Zydus Lifesciences Limited,IN,ANDA-040597,,,SPL_DUNS_FEI,
71335-0881,3002808385,"Taro Pharmaceuticals U.S.A., Inc.",IL,ANDA-075424,,,SPL_DUNS_FEI,
68788-7051,3004011473,Intas Pharmaceuticals Limited,IN,ANDA-203512,,,SPL_DUNS_FEI,
76420-895,3005674517,Bora Pharmaceutical Laboratories Inc.,TW,ANDA-091281,,,SPL_DUNS_FEI,
76420-896,3005674517,Bora Pharmaceutical Laboratories Inc.,TW,ANDA-091281,,,SPL_DUNS_FEI,
51655-942,3004021229,Aurobindo Pharma Limited,IN,ANDA-077870,,,SPL_DUNS_FEI,
16714-885,3004672766,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-205510,,,SPL_DUNS_FEI,
50090-0975,3011585599,"Glenmark Pharmaceuticals Inc., USA",US,ANDA-077987,,,SPL_DUNS_FEI,
50090-0975,3004672766,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-077987,,,SPL_DUNS_FEI,
50090-0975,3008565058,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-077987,,,SPL_DUNS_FEI,
76385-130,3008763868,Beximco Pharmaceuticals Limited,BD,ANDA-206676,,,SPL_DUNS_FEI,
43598-897,3005890568,"Cerovene, Inc.",US,ANDA-212582,,,SPL_DUNS_FEI,
43598-898,3005890568,"Cerovene, Inc.",US,ANDA-212582,,,SPL_DUNS_FEI,
50090-7180,3013944676,Annora Pharma Private Limited,IN,ANDA-215767,,,SPL_DUNS_FEI,
60760-075,3002984011,Zydus Lifesciences Limited,IN,ANDA-078235,,,SPL_DUNS_FEI,
51662-1363,3001833549,"Fresenius Kabi USA, LLC",US,ANDA-075761,,,SPL_DUNS_FEI,
45802-078,3001904238,Padagis Israel Pharmaceuticals Ltd,IL,ANDA-209158,,,ADDRESS_MATCH,
70771-1609,3007938603,Zydus Lifesciences Limited,IN,ANDA-211818,,,SPL_DUNS_FEI,
70771-1610,3007938603,Zydus Lifesciences Limited,IN,ANDA-211818,,,SPL_DUNS_FEI,
70771-1611,3007938603,Zydus Lifesciences Limited,IN,ANDA-211818,,,SPL_DUNS_FEI,
70985-006,3003053502,Unique Pharmaceutical Laboratories (A Div. of JB Chemicals & Pharmaceuticals Ltd),IN,ANDA-207613,,,SPL_DUNS_FEI,
70985-005,3003053502,Unique Pharmaceutical Laboratories (A Div. of JB Chemicals & Pharmaceuticals Ltd),IN,ANDA-207613,,,SPL_DUNS_FEI,
70985-007,3003053502,Unique Pharmaceutical Laboratories (A Div. of JB Chemicals & Pharmaceuticals Ltd),IN,ANDA-207613,,,SPL_DUNS_FEI,
63629-2403,3012403297,QUAGEN PHARMACEUTICALS LLC,US,,,,SPL_DUNS_FEI,
50090-2024,3002808376,Apotex Inc.,CA,ANDA-076341,,,SPL_DUNS_FEI,
50090-2025,3002808376,Apotex Inc.,CA,ANDA-076341,,,SPL_DUNS_FEI,
75907-309,3014319211,Steril-Gene Life Sciences Private Limited,IN,ANDA-218729,,,SPL_DUNS_FEI,
70954-056,3012541241,Novitium Pharma LLC,US,ANDA-215246,,,SPL_DUNS_FEI,
65862-641,3007373532,Aurobindo Pharma Limited,IN,ANDA-207370,,,SPL_DUNS_FEI,
65862-642,3007373532,Aurobindo Pharma Limited,IN,ANDA-207398,,,SPL_DUNS_FEI,
72162-1414,3001904238,Padagis Israel Pharmaceuticals Ltd,IL,ANDA-077770,,,ADDRESS_MATCH,
68071-5121,3007373532,Aurobindo Pharma Limited,IN,ANDA-202566,,,SPL_DUNS_FEI,
50090-0455,3002807742,Teva Canada Limited,CA,ANDA-064013,,,ADDRESS_MATCH,
71610-647,3008298016,"ScieGen Pharmaceuticals, INC.",US,ANDA-214092,,,SPL_DUNS_FEI,
67296-1812,3007373532,Aurobindo Pharma Limited,IN,ANDA-202038,,,SPL_DUNS_FEI,
71205-199,3004819820,LUPIN LIMITED,IN,ANDA-078296,,,SPL_DUNS_FEI,
68788-8625,3009150119,RECIPHARM PHARMASERVICES PRIVATE LIMITED,IN,ANDA-216436,,,SPL_DUNS_FEI,
68788-8625,3013637926,BIOCON PHARMA LIMITED,IN,ANDA-216436,,,SPL_DUNS_FEI,
68788-8625,3009993897,"NEOLPHARMA, INC.",US,ANDA-216436,,,SPL_DUNS_FEI,
70771-1697,3007938603,Zydus Lifesciences Limited,IN,ANDA-216495,,,SPL_DUNS_FEI,
70771-1698,3007938603,Zydus Lifesciences Limited,IN,ANDA-216495,,,SPL_DUNS_FEI,
65162-705,3004488497,"Amneal Pharmaceuticals of New York, LLC",US,ANDA-202227,,,SPL_DUNS_FEI,
71335-9715,3004554612,Strides Pharma Science Limited,IN,ANDA-208412,,,SPL_DUNS_FEI,
60505-3120,3002808376,Apotex Inc.,CA,ANDA-202252,,,ADDRESS_MATCH,
60505-3121,3002808376,Apotex Inc.,CA,ANDA-202252,,,ADDRESS_MATCH,
70771-1501,3005430968,Zydus Lifesciences Limited,IN,ANDA-213057,,,SPL_DUNS_FEI,
70771-1502,3005430968,Zydus Lifesciences Limited,IN,ANDA-213057,,,SPL_DUNS_FEI,
70771-1503,3005430968,Zydus Lifesciences Limited,IN,ANDA-213057,,,SPL_DUNS_FEI,
70771-1504,3005430968,Zydus Lifesciences Limited,IN,ANDA-213057,,,SPL_DUNS_FEI,
70771-1505,3005430968,Zydus Lifesciences Limited,IN,ANDA-213057,,,SPL_DUNS_FEI,
65862-404,3004021229,Aurobindo Pharma Limited,IN,ANDA-090555,,,SPL_DUNS_FEI,
65862-405,3004021229,Aurobindo Pharma Limited,IN,ANDA-090555,,,SPL_DUNS_FEI,
65862-406,3004021229,Aurobindo Pharma Limited,IN,ANDA-090555,,,SPL_DUNS_FEI,
65862-407,3004021229,Aurobindo Pharma Limited,IN,ANDA-090555,,,SPL_DUNS_FEI,
65862-408,3004021229,Aurobindo Pharma Limited,IN,ANDA-090555,,,SPL_DUNS_FEI,
72789-297,3000242652,Excella GmbH & Co. KG,DE,ANDA-212399,,,SPL_DUNS_FEI,TRUE
72789-297,3005890633,Intas Pharmaceuticals Limited,IN,ANDA-212399,,,SPL_DUNS_FEI,
43063-564,3013791804,VKT Pharma Private Limited,IN,ANDA-078925,,,SPL_DUNS_FEI,
43063-564,3006370524,Alkem Laboratories Limited,IN,ANDA-078925,,,SPL_DUNS_FEI,
43063-564,3006370533,Alkem Laboratories Limited,IN,ANDA-078925,,,SPL_DUNS_FEI,
85766-042,2000021110,"CSPC Ouyi Pharmaceutical Co., Ltd.",CN,ANDA-208249,,,SPL_DUNS_FEI,
60505-4702,3003802432,"Qilu Pharmaceutical Co., Ltd.",CN,ANDA-209333,,,SPL_DUNS_FEI,
60505-4703,3003802432,"Qilu Pharmaceutical Co., Ltd.",CN,ANDA-209333,,,SPL_DUNS_FEI,
0904-7393,3014645733,MSN PHARMACEUTICALS INC,US,ANDA-211741,,,SPL_DUNS_FEI,
0904-7394,3014645733,MSN PHARMACEUTICALS INC,US,ANDA-211741,,,SPL_DUNS_FEI,
0904-7392,3014645733,MSN PHARMACEUTICALS INC,US,ANDA-211741,,,SPL_DUNS_FEI,
0904-7421,3014645733,MSN PHARMACEUTICALS INC,US,ANDA-208037,,,SPL_DUNS_FEI,
0904-7422,3014645733,MSN PHARMACEUTICALS INC,US,ANDA-208037,,,SPL_DUNS_FEI,
0904-7423,3014645733,MSN PHARMACEUTICALS INC,US,ANDA-208037,,,SPL_DUNS_FEI,
0904-7424,3014645733,MSN PHARMACEUTICALS INC,US,ANDA-208037,,,SPL_DUNS_FEI,
0904-7425,3014645733,MSN PHARMACEUTICALS INC,US,ANDA-208037,,,SPL_DUNS_FEI,
71205-091,3022837118,Hetero Labs Limited,IN,ANDA-040901,,,SPL_DUNS_FEI,
71205-091,3013944676,Annora Pharma Private Limited,IN,ANDA-040901,,,SPL_DUNS_FEI,
71205-091,3005406526,Hetero Labs Limited,IN,ANDA-040901,,,SPL_DUNS_FEI,
29033-030,1930436,"Nostrum Laboratories, Inc.",US,ANDA-204691,,,SPL_DUNS_FEI,
29033-030,1930436,MPP PHARMA LLC,US,ANDA-204691,,,SPL_DUNS_FEI,
71930-027,3010062344,WES PHARMA INC,US,ANDA-211023,,,SPL_DUNS_FEI,
72789-307,1038197,Prinston Pharmaceutical Inc.,US,ANDA-077856,,,SPL_DUNS_FEI,
63739-086,1811396,Catalent Pharma Solutions Inc.,US,ANDA-073229,,,SPL_DUNS_FEI,
71205-128,3006785788,Ajanta Pharma Limited,IN,ANDA-203328,,,SPL_DUNS_FEI,
70518-1306,3002984011,Zydus Lifesciences Limited,IN,ANDA-040596,,,SPL_DUNS_FEI,
70518-1306,3005430968,Zydus Lifesciences Limited,IN,ANDA-040596,,,SPL_DUNS_FEI,
80425-0492,3011640199,Yiling Pharmaceutical Ltd,CN,ANDA-208921,,,SPL_DUNS_FEI,
68788-8770,3002806351,Hikma Pharmaceuticals LLC,JO,ANDA-065373,,,SPL_DUNS_FEI,
33342-208,3007517881,Macleods Pharmaceuticals Limited,IN,ANDA-206156,,,SPL_DUNS_FEI,
33342-209,3007517881,Macleods Pharmaceuticals Limited,IN,ANDA-206156,,,SPL_DUNS_FEI,
33342-210,3007517881,Macleods Pharmaceuticals Limited,IN,ANDA-206156,,,SPL_DUNS_FEI,
33342-211,3007517881,Macleods Pharmaceuticals Limited,IN,ANDA-206156,,,SPL_DUNS_FEI,
33342-212,3007517881,Macleods Pharmaceuticals Limited,IN,ANDA-206156,,,SPL_DUNS_FEI,
33342-214,3007517881,Macleods Pharmaceuticals Limited,IN,ANDA-206156,,,SPL_DUNS_FEI,
33342-213,3007517881,Macleods Pharmaceuticals Limited,IN,ANDA-206156,,,SPL_DUNS_FEI,
71610-738,3007373532,Aurobindo Pharma Limited,IN,ANDA-202433,,,SPL_DUNS_FEI,
82009-121,3013944676,Annora Pharma Private Limited,IN,ANDA-090515,,,SPL_DUNS_FEI,
82009-122,3013944676,Annora Pharma Private Limited,IN,ANDA-090515,,,SPL_DUNS_FEI,
82009-123,3013944676,Annora Pharma Private Limited,IN,ANDA-090515,,,SPL_DUNS_FEI,
82009-124,3013944676,Annora Pharma Private Limited,IN,ANDA-090515,,,SPL_DUNS_FEI,
68083-553,3009864167,GLAND PHARMA LIMITED,IN,ANDA-216966,,,SPL_DUNS_FEI,
71335-1902,3007684569,Cadila Pharmaceuticals Limited,IN,ANDA-203266,,,ADDRESS_MATCH,
50090-7268,2000021110,"CSPC Ouyi Pharmaceutical Co., Ltd.",CN,ANDA-207057,,,SPL_DUNS_FEI,
50090-5888,3005669319,Encube Ethicals Pvt. Ltd.,IN,ANDA-211303,,,SPL_DUNS_FEI,
67046-1461,2000033505,"Zhejiang Jingxin Pharmaceutical Co., Ltd.",CN,ANDA-091491,,,ADDRESS_MATCH,
68788-8449,3009083745,Mankind Pharma Limited,IN,ANDA-215886,,,SPL_DUNS_FEI,
63629-1591,3002984011,Zydus Lifesciences Limited,IN,ANDA-040596,,,SPL_DUNS_FEI,
63629-1591,3005430968,Zydus Lifesciences Limited,IN,ANDA-040596,,,SPL_DUNS_FEI,
71335-9709,3007184570,Bora Pharmaceutical Laboratories Inc.,TW,ANDA-217054,,,SPL_DUNS_FEI,
71335-9709,3005674517,Bora Pharmaceutical Laboratories Inc.,TW,ANDA-217054,,,SPL_DUNS_FEI,
55154-2641,3008565058,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-078251,,,ADDRESS_MATCH,
55154-2641,3004672766,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-078251,,,ADDRESS_MATCH,
55154-2649,3008565058,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-078251,,,ADDRESS_MATCH,
55154-2649,3004672766,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-078251,,,ADDRESS_MATCH,
55154-2648,3008565058,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-078251,,,ADDRESS_MATCH,
55154-2648,3004672766,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-078251,,,ADDRESS_MATCH,
55154-2640,3008565058,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-078251,,,ADDRESS_MATCH,
55154-2640,3004672766,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-078251,,,ADDRESS_MATCH,
63323-117,1450022,"Fresenius Kabi USA, LLC",US,ANDA-040279,,,SPL_DUNS_FEI,
42291-047,3008223599,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-040516,,,SPL_DUNS_FEI,
70518-4011,3003999190,"Zhejiang Huahai Pharmaceutical Co., Ltd.",CN,ANDA-213273,,,SPL_DUNS_FEI,
50090-5163,3003157498,Intas Pharmaceuticals Limited,IN,ANDA-210497,,,SPL_DUNS_FEI,
71205-687,3006549835,Dr. Reddy's Laboratories Limited,IN,ANDA-209876,,,SPL_DUNS_FEI,
71205-687,3011171511,Dr. Reddy's Laboratories Limited,IN,ANDA-209876,,,SPL_DUNS_FEI,
68071-3584,3013791804,VKT Pharma Private Limited,IN,ANDA-215630,,,SPL_DUNS_FEI,
50090-6855,3011255967,APL HEALTHCARE LIMITED,IN,ANDA-200651,,,SPL_DUNS_FEI,
50090-6855,3007373532,Aurobindo Pharma Limited,IN,ANDA-200651,,,SPL_DUNS_FEI,
63187-715,3002808385,"Taro Pharmaceuticals U.S.A., Inc.",IL,ANDA-075520,,,SPL_DUNS_FEI,
62135-973,1717759,Sandoz Inc,US,ANDA-076175,,,ADDRESS_MATCH,
72162-1746,1819171,"Lannett Company, Inc.",US,ANDA-078281,,,ADDRESS_MATCH,
68382-481,3002984011,Zydus Lifesciences Limited,IN,ANDA-206047,,,SPL_DUNS_FEI,
68382-482,3002984011,Zydus Lifesciences Limited,IN,ANDA-206047,,,SPL_DUNS_FEI,
68382-483,3002984011,Zydus Lifesciences Limited,IN,ANDA-206047,,,SPL_DUNS_FEI,
70518-2574,3004021229,Aurobindo Pharma Limited,IN,ANDA-078406,,,SPL_DUNS_FEI,
70518-2574,3005796917,Aurolife Pharma LLC,US,ANDA-078406,,,SPL_DUNS_FEI,
71872-7285,3002807173,"HIKMA FARMACEUTICA (PORTUGAL), S.A.",PT,ANDA-083312,,,SPL_DUNS_FEI,
71610-689,3006346108,Novast Laboratories Ltd.,CN,ANDA-202987,,,ADDRESS_MATCH,
67296-1923,3002984011,Zydus Lifesciences Limited,IN,ANDA-208578,,,SPL_DUNS_FEI,
50090-6861,3011895410,Aurobindo Pharma Limited,IN,ANDA-077206,,,SPL_DUNS_FEI,
50090-6861,3004021229,Aurobindo Pharma Limited,IN,ANDA-077206,,,SPL_DUNS_FEI,
50090-6861,3007373532,Aurobindo Pharma Limited,IN,ANDA-077206,,,SPL_DUNS_FEI,
0404-9891,1021343,"Hospira, Inc.",US,ANDA-089644,,,SPL_DUNS_FEI,
60760-810,3006271438,Novel Laboratories Inc,US,ANDA-040284,,,SPL_DUNS_FEI,
69452-323,3004540907,Bionpharma Inc.,IN,ANDA-218220,,,SPL_DUNS_FEI,
69452-324,3004540907,Bionpharma Inc.,IN,ANDA-218220,,,SPL_DUNS_FEI,
69452-325,3004540907,Bionpharma Inc.,IN,ANDA-218220,,,SPL_DUNS_FEI,
69452-326,3004540907,Bionpharma Inc.,IN,ANDA-218220,,,SPL_DUNS_FEI,
0143-9743,3002807173,"HIKMA FARMACEUTICA (PORTUGAL), S.A.",PT,ANDA-200219,,,SPL_DUNS_FEI,
0143-9742,3002807173,"HIKMA FARMACEUTICA (PORTUGAL), S.A.",PT,ANDA-200219,,,SPL_DUNS_FEI,
63187-666,3004021229,Aurobindo Pharma Limited,IN,ANDA-090778,,,SPL_DUNS_FEI,
60505-4658,3002808376,Apotex Inc.,CA,ANDA-211236,,,SPL_DUNS_FEI,
60505-4659,3002808376,Apotex Inc.,CA,ANDA-211236,,,SPL_DUNS_FEI,
60505-4660,3002808376,Apotex Inc.,CA,ANDA-211236,,,SPL_DUNS_FEI,
60505-4661,3002808376,Apotex Inc.,CA,ANDA-211236,,,SPL_DUNS_FEI,
33342-190,3007517881,Macleods Pharmaceuticals Limited,IN,ANDA-206884,,,SPL_DUNS_FEI,
